Event_ID,Outcome,week_before_event,article_count,certainty_score_mean,certainty_score_sum,relevance_score_max,relevance_score_mean,relevance_score_min,relevance_score_std,rhetoric_score_max,rhetoric_score_mean,rhetoric_score_sum,sentiment_compound_max,sentiment_compound_mean,sentiment_compound_min,sentiment_compound_std
MEA_2020_IRAN_NOCONFLICT,No Conflict,-5,16,0.375,6.0,1.0,0.5625,0.0,0.51234753829798,5.0,0.9375,15.0,0.8555,-0.3367,-0.9571,0.7038965889958553
MEA_2020_IRAN_NOCONFLICT,No Conflict,-4,14,0.14285714285714285,2.0,2.0,0.7857142857142857,0.0,0.6992932067530679,6.0,1.0714285714285714,15.0,0.9474,-0.19234285714285715,-0.9777,0.7837434634391003
MEA_2020_IRAN_NOCONFLICT,No Conflict,-3,7,0.0,0.0,1.0,0.2857142857142857,0.0,0.48795003647426666,4.0,1.0,7.0,0.9062,-0.31867142857142855,-0.9186,0.6328615138514
MEA_2020_IRAN_NOCONFLICT,No Conflict,-2,5,0.0,0.0,2.0,1.4,1.0,0.5477225575051661,13.0,2.6,13.0,0.8979,0.07428000000000001,-0.9501,0.881121823018815
MEA_2020_IRAN_NOCONFLICT,No Conflict,-1,15,0.4,6.0,2.0,0.7333333333333333,0.0,0.7988086367179803,12.0,3.466666666666667,52.0,0.9093,-0.29023333333333334,-0.9799,0.748629740322436
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-12,1,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,-0.8689,-0.8689,-0.8689,
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-11,5,0.2,1.0,3.0,1.6,0.0,1.140175425099138,5.0,1.6,8.0,0.9607,0.85208,0.6597,0.12993337523515655
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-10,6,0.5,3.0,1.0,0.3333333333333333,0.0,0.5163977794943222,3.0,0.5,3.0,0.9657,0.2803833333333333,-0.6705,0.707884262903666
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-8,6,-0.16666666666666666,-1.0,2.0,1.0,0.0,0.6324555320336759,0.0,0.0,0.0,0.9694,0.3606666666666667,-0.5859,0.6444978003582841
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-7,3,-0.3333333333333333,-1.0,1.0,0.6666666666666666,0.0,0.5773502691896258,5.0,1.6666666666666667,5.0,-0.128,-0.29086666666666666,-0.5423,0.2208940092744331
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-6,3,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.5773502691896258,0.0,0.0,0.0,0.6908,-0.1514,-0.8718,0.7883883053419806
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-5,3,0.3333333333333333,1.0,2.0,0.6666666666666666,0.0,1.1547005383792517,0.0,0.0,0.0,0.4939,-0.4346666666666667,-0.9321,0.8048453039766917
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-4,5,0.6,3.0,2.0,0.8,0.0,0.8366600265340756,0.0,0.0,0.0,0.7441,-0.15194,-0.9147,0.7393440153271006
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-3,3,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9675,0.6622666666666667,0.1027,0.48526677542701535
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-2,2,0.0,0.0,1.0,0.5,0.0,0.7071067811865476,5.0,2.5,5.0,-0.4263,-0.7014,-0.9765,0.38905015100883844
SAS_2025_PHALGAMA_NOCONFLICT,No Conflict,-1,11,0.18181818181818182,2.0,3.0,2.0,0.0,1.0954451150103321,11.0,5.545454545454546,61.0,-0.656,-0.9208272727272728,-0.9801,0.09047627413757807
EUR_2021_UKRAINE_NOCONFLICT,No Conflict,-12,11,0.45454545454545453,5.0,2.0,1.1818181818181819,0.0,0.7507571935295483,3.0,0.36363636363636365,4.0,0.8377,-0.38640909090909087,-0.9792,0.6471272741193118
EUR_2021_UKRAINE_NOCONFLICT,No Conflict,-11,19,0.42105263157894735,8.0,4.0,1.105263157894737,0.0,1.1002392084403616,5.0,1.105263157894737,21.0,0.9597,-0.19028421052631578,-0.9861,0.7732326897607342
EUR_2021_UKRAINE_NOCONFLICT,No Conflict,-10,7,0.42857142857142855,3.0,1.0,0.5714285714285714,0.0,0.5345224838248488,2.0,0.2857142857142857,2.0,0.7579,0.011171428571428563,-0.9253,0.6580753141150479
